Clave,Unidad,Nombre del producto,Cantidad,Precio de Compra,Precio de Venta,Reserva,Precios de venta adicionales (opcional),Información Adicional,Categoría
67,-,*MENTHOPLUS ACIDO MANZANA-,9999,6030.00,6700.00,1,,,ARCOR
68,-,*MENTHOPLUS ACIDO CHERRY-,9999,6030.00,6700.00,1,,,ARCOR
69,-,"*MENTHOPLUS CAFÉ LATTE ",9999,6030.00,6700.00,1,,,ARCOR
70,-,*MENTHOPLUS SIN AZUCAR MENTOL -,9999,5122.80,5692.00,1,,,ARCOR
71,-,*MENTHOPLUS SIN AZUCAR NEGRO-,9999,5122.80,5692.00,1,,,ARCOR
72,-,*MENTHOPLUS SIN AZUCAR DURAZNO-,9999,5122.80,5692.00,1,,,ARCOR
73,-,*MENTHOPLUS SIN AZUCAR CEREZA-,9999,5122.80,5692.00,1,,,ARCOR
74,-,*MENTHOPLUS CEREZA-,9999,3673.80,4082.00,1,,,ARCOR
75,-,*MENTHOPLUS MENTA-,9999,3673.80,4082.00,1,,,ARCOR
76,-,*MENTHOPLUS NEGRO-,9999,3673.80,4082.00,1,,,ARCOR
77,-,*MENTHOPLUS MENTOL -,9999,3673.80,4082.00,1,,,ARCOR
78,-,*MENTHOPLUS MIEL -,9999,3673.80,4082.00,1,,,ARCOR
79,-,*AGUILA ALF TORTA  BLANCO TRIPLE X1-,9999,833.40,926.00,1,,,ARCOR
80,-,*AGUILA ALF TORTA CLASICO TRIPLE X1-,9999,833.40,926.00,1,,,ARCOR
81,-,*AGUILA  ALF TORTA BROWNIE  TRIPLE X1-,9999,833.40,926.00,1,,,ARCOR
82,-,*AGUILA ALF TORTA  COCO TRIPLE X1-,9999,833.40,926.00,1,,,ARCOR
83,-,*BAGLEY ALF. TRIPLE B&N BCO  X1-,9999,833.40,926.00,1,,,ARCOR
84,-,*BAGLEY ALF. TRIPLE B&N NEGRO X1-,9999,833.40,926.00,1,,,ARCOR
85,-,*ARC ALF COFLER BLOCK TRIPLE X1-,9999,833.40,926.00,1,,,ARCOR
86,-,*ARC BON O BON ALFAJOR  BLANCO TRIPLE X1-,9999,833.40,926.00,1,,,ARCOR
87,-,*ARC BON O BON ALFAJOR CHOCOLATE TRIPLE X1-,9999,833.40,926.00,1,,,ARCOR
88,-,*ARC BON O BON TRIPLE NEGRO  X1-,9999,833.40,926.00,1,,,ARCOR
89,-,*ARC GAJOS FRUTALES -,9999,2535.30,2817.00,1,,,ARCOR
90,-,*FLICS MENTA X14 U -,9999,4230.00,4700.00,1,,,ARCOR
91,-,*ARC RELLENO MIEL X675GS-,9999,5133.60,5704.00,1,,,ARCOR
92,-,*ARC MENTA CRISTAL X810G-,9999,6365.70,7073.00,1,,,ARCOR
93,-,*ARC RELLENO FRUTAL X800 GRS-,9999,5133.60,5704.00,1,,,ARCOR
94,-,*ARC MIEL + MENTA X335-,9999,2406.60,2674.00,1,,,ARCOR
95,-,*ARC RODAJAS ACIDAS X930-,9999,6883.20,7648.00,1,,,ARCOR
