id,nombre,costo,precio_venta
99,*ARC CREMINO SURTIDO X94OG-,7555.5,8395.0
100,*ARC FRESH CRISTAL X405GS.-,3213.0,3570.0
101,*ARC B.TOFFES AGUILA X822-,5537.7,6153.0
102,*ARC B.TOFFES AVELLANA X648-,5537.7,6153.0
103,*ARC B.TOFFES B O BON X822-,5537.7,6153.0
104,*ARC B.TOFFES BLANCO X822-,5537.7,6153.0
105,*ARC B.TOFFES CAFE  X822-,5537.7,6153.0
106,*ARC B.TOFFES CHOCOL X822-,5537.7,6153.0
107,*ARC B.TOFFES CREEM  -,5537.7,6153.0
108,*ARC B.TOFFES D/LECHE X822-,5537.7,6153.0
109,*ARC B.TOFFES LECHE  X825-,5537.7,6153.0
110,*ARC B.TOFFES MENTA  X822-,5537.7,6153.0
111,*ARC ROCKLETS 18X40GS.-,12498.3,13887.0
112,*ARC ROCKLETS 24X20GS.-,10039.5,11155.0
113,*ARC BON O BON AGUILA X18U.-,4783.5,5315.0
114,*ARC BON O BON BLANCO X30-,7920.0,8800.0
115,*ARC BON O BON LECHE X30U-,7920.0,8800.0
116,*ARC BON O BON CHOCOLINA X18U-,4783.5,5315.0
117,*ARC BON O BON OBLEA X20 BLANCO-,10450.8,11612.0
118,*ARC BON O BON OBLEA X20 NEGRO-,10450.8,11612.0
119,*ARC BON O BON CHOCOLINA XL  X18 U -,12798.0,14220.0
120,*ARC BON O BON  XL  X18 U -,12798.0,14220.0
121,*CABSHA BOCADITO X48U.-,12264.3,13627.0
122,*ARC ROCKLETS MINI 44X10-,10298.7,11443.0
123,*ARC COFLER AIR BBON X67G.-,1854.0,2060.0
124,*ARC COFLER AIR TOFFI X70G.-,1854.0,2060.0
125,*ARC COFLER AIRE. ALMENDRA X55-,1854.0,2060.0
126,*ARC COFLER AIRE. BLANCO X55-,1854.0,2060.0
127,*ARC COFLER AIRE. COMBI. X55-,1854.0,2060.0
128,*ARC COFLER AIRE. LECHE X55-,1854.0,2060.0
129,*ARC COFL AIRE. ALMEN. X27-,981.0,1090.0
130,*ARC COFL AIRE. BLANCO X27-,981.0,1090.0
131,*ARC COFL AIRE. BON O BON  X30-,981.0,1090.0
